---------- Begin Simulation Statistics ----------
simSeconds                                   0.004959                       # Number of seconds simulated (Second)
simTicks                                   4959050500                       # Number of ticks simulated (Tick)
finalTick                                  7308369500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    768.49                       # Real time elapsed on the host (Second)
hostTickRate                                  6452992                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   67277632                       # Number of bytes of host memory used (Byte)
simInsts                                     44623008                       # Number of instructions simulated (Count)
simOps                                       46726505                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    58066                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      60803                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               250                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles            19836202                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded           34063396                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded         2937                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued          34095862                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.NoReadyInst           6311775                       # No instructions ready in this cycle (Count)
system.cpu_cluster.cpus.ReadyInstMoreThanBW        30576                       # More ready instructions than available bandwidth (Count)
system.cpu_cluster.cpus.squashedInstsIssued          740                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined       187764                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined       364619                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved          130                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.fuBusyS                 51285                       # FU busy when requested (Count)
system.cpu_cluster.cpus.numIssuedDist::samples     19836202                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     1.718870                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.686678                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0      6311775     31.82%     31.82% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1      3292238     16.60%     48.42% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2      5585022     28.16%     76.57% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3      1725422      8.70%     85.27% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4      1032927      5.21%     90.48% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5      1193212      6.02%     96.49% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6       540272      2.72%     99.22% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7       124758      0.63%     99.85% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8        30576      0.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total     19836202                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult        21178     41.29%     41.29% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     41.29% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%     41.29% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     41.29% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt         3725      7.26%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            0      0.00%     48.56% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     48.56% # attempts to use FU when none available (Count)
