---------- Begin Simulation Statistics ----------
simSeconds                                   0.003250                       # Number of seconds simulated (Second)
simTicks                                   3249821250                       # Number of ticks simulated (Tick)
finalTick                                  5571350250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    602.89                       # Real time elapsed on the host (Second)
hostTickRate                                  5390374                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   67279788                       # Number of bytes of host memory used (Byte)
simInsts                                     44624582                       # Number of instructions simulated (Count)
simOps                                       46728422                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    74017                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      77507                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               250                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles            12999288                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded           34173484                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded         3075                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued          34089831                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.NoReadyInst           4001456                       # No instructions ready in this cycle (Count)
system.cpu_cluster.cpus.ReadyInstMoreThanBW       477301                       # More ready instructions than available bandwidth (Count)
system.cpu_cluster.cpus.squashedInstsIssued         1247                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined       296095                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined       643903                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved          205                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.fuBusyS                375362                       # FU busy when requested (Count)
system.cpu_cluster.cpus.numIssuedDist::samples     12999288                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     2.622438                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     2.432785                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0      4001456     30.78%     30.78% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1      1274806      9.81%     40.59% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2      1637625     12.60%     53.19% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3      1566998     12.05%     65.24% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4      1329792     10.23%     75.47% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5      1170565      9.00%     84.48% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6       936835      7.21%     91.68% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7       603910      4.65%     96.33% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8       477301      3.67%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total     12999288                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult       114841     30.59%     30.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     30.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd          220      0.06%     30.65% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     30.65% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt        26650      7.10%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMisc            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatSqrt            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAdd            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAddAcc            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAlu            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCmp            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCvt            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMisc            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMult            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMultAcc            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShift            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShiftAcc            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdDiv            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSqrt            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCmp            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCvt            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatDiv            0      0.00%     37.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMisc            0      0.00%     37.75% # attempts to use FU when none available (Count)
