---------- Begin Simulation Statistics ----------
simSeconds                                   0.003276                       # Number of seconds simulated (Second)
simTicks                                   3275883000                       # Number of ticks simulated (Tick)
finalTick                                  5572608000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    516.68                       # Real time elapsed on the host (Second)
hostTickRate                                  6340297                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   67281944                       # Number of bytes of host memory used (Byte)
simInsts                                     44625900                       # Number of instructions simulated (Count)
simOps                                       46730035                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86371                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      90443                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               250                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles            13103535                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded           36725389                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded        58750                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued          36037929                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.NoReadyInst           2572019                       # No instructions ready in this cycle (Count)
system.cpu_cluster.cpus.ReadyInstMoreThanBW       292960                       # More ready instructions than available bandwidth (Count)
system.cpu_cluster.cpus.squashedInstsIssued        22030                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined      2902040                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined      2318767                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved        55838                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.fuBusyS                141607                       # FU busy when requested (Count)
system.cpu_cluster.cpus.numIssuedDist::samples     13103535                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     2.750245                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     2.164907                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0      2572019     19.63%     19.63% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1      1819824     13.89%     33.52% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2      2161236     16.49%     50.01% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3      1954157     14.91%     64.92% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4      1648029     12.58%     77.50% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5      1307115      9.98%     87.48% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6       875574      6.68%     94.16% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7       472621      3.61%     97.76% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8       292960      2.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total     13103535                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult        42922     30.31%     30.31% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     30.31% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd           67      0.05%     30.36% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     30.36% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt         1363      0.96%     31.32% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            0      0.00%     31.32% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     31.32% # attempts to use FU when none available (Count)
