---------- Begin Simulation Statistics ----------
simSeconds                                   0.003437                       # Number of seconds simulated (Second)
simTicks                                   3436892500                       # Number of ticks simulated (Tick)
finalTick                                  9174531250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    532.80                       # Real time elapsed on the host (Second)
hostTickRate                                  6450647                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   67287372                       # Number of bytes of host memory used (Byte)
simInsts                                     44630734                       # Number of instructions simulated (Count)
simOps                                       46735946                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83767                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      87718                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               250                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles            13747578                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded           33885089                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded         3084                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued          33890261                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.NoReadyInst            498278                       # No instructions ready in this cycle (Count)
system.cpu_cluster.cpus.ReadyInstMoreThanBW         1686                       # More ready instructions than available bandwidth (Count)
system.cpu_cluster.cpus.squashedInstsIssued           51                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined          162                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined          157                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.fuBusyW              27481571                       # FU busy when requested (Count)
system.cpu_cluster.cpus.numIssuedDist::samples     13747578                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     2.465180                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.231343                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0       498278      3.62%      3.62% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1      2582918     18.79%     22.41% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2      4299534     31.27%     53.69% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3      3615038     26.30%     79.98% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4      2044673     14.87%     94.86% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5       578439      4.21%     99.06% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6       110298      0.80%     99.87% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7        16714      0.12%     99.99% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8         1686      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total     13747578                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu     13668267     49.74%     49.74% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult       670695      2.44%     52.18% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     52.18% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%     52.18% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     52.18% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt      9390485     34.17%     86.35% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            0      0.00%     86.35% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     86.35% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv            0      0.00%     86.35% # attempts to use FU when none available (Count)
